actual_rating,predicted_rating,explanation,is_valid_json,error,review_text,latency_sec
1,1.0,"The review highlights numerous critical issues including multiple dishes served raw or severely undercooked, small portions for the price, inefficient service, and tacky decor. The overall experience was overwhelmingly negative, with no redeeming factors mentioned.",True,,"Don't know where I should start. Grand opening was on September 17th, 2010. We went to try this new ...",3.509600877761841
1,1.0,"The review expresses extreme dissatisfaction, describing the establishment as a ""waste of time & space"" with rude, uncaring staff and significant disorganization regarding seating. The strong negative language, including ""complete disgrace,"" warrants the lowest possible rating.",True,,Absolutely waste of time & space is this establishment. Don't bother checking in with the host to be...,3.4666879177093506
1,1.0,"The review expresses extreme dissatisfaction with the food quality, describing it as 'disgusting' and 'no flavour', with specific examples like 'peppery water' salsa and 'unseasoned burnt' beef. Despite friendly staff and cleanliness, the core product failed entirely, warranting a 1-star rating.",True,,"I am *floored* that this place has 4 stars. Literally fell out of my chair, picked myself up, then c...",2.3108279705047607
1,1.0,"The review describes a horrible experience where the technician damaged the customer's natural nails by improperly removing old gel polish, making them thin and flimsy. The new polish was applied unevenly, and the salon refused a refund with poor customer service, leading to a vow never to return.",True,,"Horrible! I had a gel manicure. The tech didn't let my old gel soak off long enough so she scraped, ...",2.048172950744629
1,1.0,"The review expresses extreme dissatisfaction, citing terrible music, annoying staff, an unpleasant ambiance described as smelling like fish, and overpriced, mediocre food. All elements point to a very poor experience.",True,,Not only was the music the worst I have ever heard the wait staff was as annoying as ever! Like a wa...,2.116241216659546
1,1.0,"The customer received the wrong order, violating a 5-year vegetarian diet, and the staff displayed a complete lack of apology or concern, only offering a refund after a significant error.",True,,I can overcome the hipster sneer and accept that I am an uncool blemish in a world full of cut-off c...,4.826910972595215
1,1.0,"The review highlights an overwhelmingly negative experience, citing abysmal service characterized by extreme wait times, being repeatedly ignored by the server, and a perceived hostile attitude after mentioning a Groupon. The service issues completely overshadowed any aspect of the food, leading to a truly horrible dining experience.",True,,Great food can be found anywhere. Great service is one in a million these days. This place gets an A...,4.1690590381622314
1,1.0,"The review details multiple consistently negative experiences, including being overcharged on three separate occasions, slow and unhelpful service, and unresponsive management. The customer explicitly states 'the service sucks ass' and vows never to return, clearly indicating the lowest possible satisfaction.",True,,"First of all, if you go here, PLEASE PLEASE PLEASE make sure you check your bill when it comes!  hon...",2.222226858139038
1,1.0,"The review expresses extreme dissatisfaction, calling the enchiladas 'worst ever' and comparing them unfavorably to Taco Bell, citing poor food quality and outdated decor. This warrants the lowest possible rating.",True,,Worst enchiladas EVER and decor from a 1980's attempt at a mexican restaurant.  Taco Bell is a step ...,1.7663381099700928
1,1.0,"The reviewer reported severe food poisoning, witnessed a visibly drunk employee cooking their food, and noted a drastic decline in overall quality and safety, warranting the lowest possible rating.",True,,"NOTE: This review concerns the Roberto's on Union Hills and 7th Ave. NOT the Roberto's in Anthem!


...",2.7536051273345947
1,1.0,"The reviewer experienced unbearable train noise throughout the night and morning, severely impacting sleep. Despite some minor positives like location and price, the core issue of disrupted rest led to a very negative stay and a strong recommendation to 'Stay Elsewhere'.",True,,Im going to have to agree Whole heartedly. And i informed the manager of it as well. I picked this o...,2.864989757537842
1,1.0,"The review explicitly states 'awful' pizza and calzones, along with a firm decision to never return, indicating a highly dissatisfactory experience justifying a 1-star rating.",True,,My brother also posted about our Mother's Day experience. These must be franchises because the Scott...,2.1245269775390625
1,1.0,"The review describes an overwhelmingly negative experience. Multiple food items were inedible or disgusting, including bad tofu, fowl-tasting meat, burnt rice, and bland, watery main dishes. The customer explicitly states they will ""never go again"" and ""do NOT recommend"", indicating a complete failure in food quality and service.",True,,"I have been to a buffet like this before, but I will never go to this particular one again. 

The fo...",3.3378069400787354
1,1.0,"The review expresses profound disappointment, stating the current restaurant is 'nothing, nothing, nothing' like the original, criticizing the pretentious decor and food. The sentiment is overwhelmingly negative, warranting the lowest rating.",True,,"Needs a new name - now.  

The Pischke's of old had such a sad ending.  I appreciated McGrath's effo...",2.523585081100464
1,1.0,"The review uses extremely negative language such as ""Gross,"" ""always upset,"" and ""waste of money,"" indicating a highly unsatisfactory experience with the food and overall service. This strongly points to the lowest possible rating.",True,,"Gross, plain and simple!  I'll crave some quick Chinese Food and then I'm always upset.  What a wast...",2.3862850666046143
1,1.0,"The review describes finding a foreign object, specifically a glove fingertip, in a wrap. This is a severe hygiene issue, leading to a disgusting and unsafe food experience for the customer, warranting the lowest possible rating.",True,,"Be VERY, VERY careful asking for a sandwich as a wrap. I ordered a ham and cheese make your own sand...",2.085456132888794
1,1.0,"The review expresses extreme dissatisfaction across all aspects, from the food and high prices to the exceptionally poor service and uncaring staff, which the reviewer attributes directly to management failures. The opening line implies even one star is too generous.",True,,"Look it upsets me that you have to give even one star. 

I can read the other reviews and I have bee...",3.1705331802368164
1,1.0,"The reviewer describes a completely negative experience, citing mediocre food quality, uncooked bun, forgotten sauce, ridiculous upgrade pricing, and incompetent staff with no visible management. The overall sentiment is one of extreme disappointment and a recommendation to avoid the establishment.",True,,"New N. Scottsdale location, Baaaaaaad!  The were 10 staff members milling around and there was no ma...",3.5155959129333496
1,1.0,"The review describes terrible service, a phone screen repair that failed in two weeks, and a refusal to honor the warranty. The cash-only policy also raises significant red flags, pointing to a highly unsatisfactory and untrustworthy business experience.",True,,Terrible service--they replaced my phone screen and it broke within 2 wks. Phone was not dropped or ...,2.570274829864502
1,1.0,"The review details numerous significant issues, including extremely poor service, bland and overcooked food, soggy sides, and a perceived lack of value for the price, all contributing to a very negative experience.",True,,"Maybe I ate at a different restaurant than the other people, or once they got through the ""soft open...",3.338270902633667
1,1.0,"The review expresses extreme dissatisfaction, citing predatory pricing practices for parts, a feeling of being ripped off for a diagnosis fee, and a clear warning for others to 'Stay away!'. The intent to file a complaint with the Attorney General's office further solidifies a 1-star rating.",True,,One stop has one goal and that is to get the $80. diagnosis fee and split.  Francisco told me i need...,2.5147669315338135
1,1.0,"The review describes an extremely negative dining experience, citing greasy, flavorless beef, excessive oil, extra charges for basic condiments, and explicitly mentioning food-related sickness and a desire to give ""no stars"" for the dish.",True,,"Maybe I should have had a hot dog but I crave Chicago's Italian beef,  I didn't get it here just som...",3.9355101585388184
1,1.0,"The review explicitly states the food was 'mucho mierda' and left much to be desired, with flavorless tacos, stingy portions, and poor value for money. The reviewer felt ripped off and will not return, despite minor positives about staff and salsa.",True,,"Mucho Gusto es mucho mierda. 

Let me say first, that the place is cute, the staff is friendly, and ...",3.1898491382598877
1,1.0,"The review indicates a consistently negative experience with skimpy toppings and being unfairly charged extra for a minimal request without prior notification. The customer feels cheated and will not return, highlighting significant issues with service and transparency.",True,,I signed up for Yelp just because of the poor service and being cheated out of money from Cafe Rio. ...,2.57532000541687
1,1.0,"The reviewer received a salad with brown and yellow lettuce, which is unacceptable. This poor food quality led to extreme disappointment and a clear statement of not returning, indicating a very negative experience.",True,,I work right across the street and a few of us went here for lunch one afternoon. I ordered a salad ...,1.9494919776916504
1,1.0,"The reviewer expressed extreme dissatisfaction with the tuna sandwich, describing it as ""barely-recognizable-as-food"" and preferring to eat tuna directly from a can, indicating a truly terrible culinary experience.",True,,I wish I could review the cold food stand attached to this restaurant separately because I want to t...,3.6385650634765625
1,1.0,"The review highlights extremely slow service (35 minutes for two simple sandwiches) despite multiple staff, feeling completely ignored, disgust with service, overpriced food, and a feeling of worthlessness upon leaving, all of which point to a severely negative experience.",True,,Went there first thing thing this morning. Ordered 2 simple sandwiches. Took over 35 minutes to make...,2.815530776977539
1,1.0,"The review describes an extremely negative experience with poor food quality, deceptive practices, and repeated dissatisfaction. The customer expresses strong discontent, stating they will ""never, never again"" return.",True,,This place is the classic bait and switch joint.  I ordered through the drive-thru and told the pers...,2.7618072032928467
1,1.0,"The review describes a terrible experience involving catalytic converter theft due to zero security in the parking lot and management indifference. This critical security failure severely outweighs any positive aspect of the park, warranting the lowest possible rating. The park's management response is depicted as a 'joke', indicating a severe lack of concern for customer safety and property.",True,,"Water park is OK.  However, the parking lot has ZERO security.  No security patrols, no cameras.  My...",2.612827777862549
1,1.0,"The review highlights multiple serious problems, most notably hair found in the food, which is a major hygiene issue. Additionally, the reviewer experienced bland food, a confusing ordering process, and dismissive staff, culminating in an entirely unsatisfactory dining experience.",True,,"There was hair in the food. Not just 1 but 2 in the same Bhel Puri dish.

The whole experience was p...",4.068449974060059
1,1.0,"The review describes a deeply negative experience with a rotten meal and indifferent staff reaction, leading the customer to avoid the restaurant, indicating a very poor impression.",True,,"We've been going here for 25 years and I had my first BAD meal recently. A rotten chicken tamale, th...",2.829153060913086
1,1.0,"The review describes an extremely negative experience, including physical injury from a burn, unsanitary conditions, unprofessional behavior, and very poor customer service, warranting the lowest possible rating.",True,,I got my nails done there last Thursday for the first and last time. I would never ever go back ther...,4.2604899406433105
1,1.0,"The owner's incredibly rude and dismissive behavior during a simple inquiry completely alienated a potential customer. Her refusal to engage and telling the caller to ""go somewhere else"" created an entirely negative first impression, warranting the lowest possible rating.",True,,I called The Town Dump to ask if I could come in this week and interview them for an English paper a...,2.296856164932251
1,1.0,"The review expresses extreme dissatisfaction with severe understaffing, leading to prolonged waits and complete lack of service. The manager was described as rude and unhelpful, and the reviewer explicitly states they will not return. These critical issues warrant a 1-star rating.",True,,Wow?!  Is this the new Barcelona?!  Yuck!  Old scuzy men and middle aged women with fake boobs that ...,3.710235118865967
1,1.0,"The review expresses extreme dissatisfaction due to absent management, unidentifiable staff, and a negative interaction where the customer was scolded, concluding with a firm decision to never return to the establishment.",True,,I don't get it. This place is crazy busy with no Manager in sight and in hiding during the busy dinn...,2.457184076309204
1,1.0,"The review describes a very negative experience involving racial slurs and an unwelcoming environment for non-white patrons, indicating severe customer dissatisfaction and an unacceptable atmosphere.",True,,"Not recommended if you're not white. For me, it's the third time somebody threw out racial slurs at ...",2.550718307495117
1,1.0,"The pet developed a hematoma in its ear during the spay event, which was not present before. The owner's anger and the clear negligence in care warrant a very low rating.",True,,I took my kitty to the Beat the Heat low cost spay event and she came home with a hematoma in her ea...,1.7825191020965576
1,1.0,"The review details an overwhelmingly negative experience, highlighting extremely rude staff, unhelpful management, a dirty theater, and terrible food. Every aspect of the visit, from ticket purchase to the movie itself and subsequent complaint, was unsatisfactory, indicating a complete failure in service and quality.",True,,Was in town for a business meeting and tried to catch a movie with a friend. First impression of the...,3.359910726547241
